county,office,district,party,candidate,precinct,votes
Marion,U.S. House,5,DEM,Peter Wright,310,59
Marion,U.S. House,5,DEM,Peter Wright,311,75
Marion,U.S. House,5,DEM,Peter Wright,312,64
Marion,U.S. House,5,DEM,Peter Wright,320,33
Marion,U.S. House,5,DEM,Peter Wright,321,31
Marion,U.S. House,5,DEM,Peter Wright,322,4
Marion,U.S. House,5,DEM,Peter Wright,323,59
Marion,U.S. House,5,DEM,Peter Wright,324,3
Marion,U.S. House,5,DEM,Peter Wright,325,50
Marion,U.S. House,5,DEM,Peter Wright,326,3
Marion,U.S. House,5,DEM,Peter Wright,330,49
Marion,U.S. House,5,DEM,Peter Wright,331,21
Marion,U.S. House,5,DEM,Peter Wright,332,9
Marion,U.S. House,5,DEM,Peter Wright,333,26
Marion,U.S. House,5,DEM,Peter Wright,334,3
Marion,U.S. House,5,DEM,Peter Wright,335,0
Marion,U.S. House,5,DEM,Peter Wright,336,0
Marion,U.S. House,5,DEM,Peter Wright,337,94
Marion,U.S. House,5,DEM,Peter Wright,340,36
Marion,U.S. House,5,DEM,Peter Wright,341,42
Marion,U.S. House,5,DEM,Peter Wright,342,0
Marion,U.S. House,5,DEM,Peter Wright,343,63
Marion,U.S. House,5,DEM,Peter Wright,344,72
Marion,U.S. House,5,DEM,Peter Wright,350,50
Marion,U.S. House,5,DEM,Peter Wright,351,11
Marion,U.S. House,5,DEM,Peter Wright,352,7
Marion,U.S. House,5,DEM,Peter Wright,353,27
Marion,U.S. House,5,DEM,Peter Wright,354,3
Marion,U.S. House,5,DEM,Peter Wright,355,1
Marion,U.S. House,5,DEM,Peter Wright,356,0
Marion,U.S. House,5,DEM,Peter Wright,357,29
Marion,U.S. House,5,DEM,Peter Wright,361,3
Marion,U.S. House,5,DEM,Peter Wright,362,34
Marion,U.S. House,5,DEM,Peter Wright,363,61
Marion,U.S. House,5,DEM,Peter Wright,364,46
Marion,U.S. House,5,DEM,Peter Wright,365,0
Marion,U.S. House,5,DEM,Peter Wright,370,52
Marion,U.S. House,5,DEM,Peter Wright,371,72
Marion,U.S. House,5,DEM,Peter Wright,372,22
Marion,U.S. House,5,DEM,Peter Wright,373,57
Marion,U.S. House,5,DEM,Peter Wright,374,29
Marion,U.S. House,5,DEM,Peter Wright,375,49
Marion,U.S. House,5,DEM,Peter Wright,376,0
Marion,U.S. House,5,DEM,Peter Wright,400,0
Marion,U.S. House,5,DEM,Peter Wright,401,56
Marion,U.S. House,5,DEM,Peter Wright,402,37
Marion,U.S. House,5,DEM,Peter Wright,403,51
Marion,U.S. House,5,DEM,Peter Wright,404,59
Marion,U.S. House,5,DEM,Peter Wright,405,38
Marion,U.S. House,5,DEM,Peter Wright,406,61
Marion,U.S. House,5,DEM,Peter Wright,407,41
Marion,U.S. House,5,DEM,Peter Wright,408,2
Marion,U.S. House,5,DEM,Peter Wright,505,10
Marion,U.S. House,5,DEM,Peter Wright,515,4
Marion,U.S. House,5,DEM,Peter Wright,525,13
Marion,U.S. House,5,DEM,Peter Wright,535,22
Marion,U.S. House,5,DEM,Peter Wright,545,15
Marion,U.S. House,5,DEM,Peter Wright,555,32
Marion,U.S. House,5,DEM,Peter Wright,577,8
Marion,U.S. House,5,DEM,Peter Wright,578,1
Marion,U.S. House,5,DEM,Peter Wright,579,4
