county,precinct,office,district,party,candidate,votes
Coos,Precinct 01,President,,We The People,Robert F. Kennedy Jr,15
Coos,Precinct 02,President,,We The People,Robert F. Kennedy Jr,35
Coos,Precinct 03,President,,We The People,Robert F. Kennedy Jr,69
Coos,Precinct 04,President,,We The People,Robert F. Kennedy Jr,35
Coos,Precinct 05,President,,We The People,Robert F. Kennedy Jr,85
Coos,Precinct 06,President,,We The People,Robert F. Kennedy Jr,27
Coos,Precinct 07,President,,We The People,Robert F. Kennedy Jr,41
Coos,Precinct 08,President,,We The People,Robert F. Kennedy Jr,77
Coos,Precinct 09,President,,We The People,Robert F. Kennedy Jr,6
Coos,Precinct 10,President,,We The People,Robert F. Kennedy Jr,22
Coos,Precinct 11,President,,We The People,Robert F. Kennedy Jr,38
Coos,Precinct 12,President,,We The People,Robert F. Kennedy Jr,47
Coos,Precinct 13,President,,We The People,Robert F. Kennedy Jr,25
Coos,Precinct 14,President,,We The People,Robert F. Kennedy Jr,17
Coos,Precinct 15,President,,We The People,Robert F. Kennedy Jr,11
Coos,Precinct 16,President,,We The People,Robert F. Kennedy Jr,35
Coos,Precinct 17,President,,We The People,Robert F. Kennedy Jr,41
Coos,Precinct 18,President,,We The People,Robert F. Kennedy Jr,4
Coos,Precinct 01,President,,Progessive,Cornel West,1
Coos,Precinct 02,President,,Progessive,Cornel West,4
Coos,Precinct 03,President,,Progessive,Cornel West,7
Coos,Precinct 04,President,,Progessive,Cornel West,2
Coos,Precinct 05,President,,Progessive,Cornel West,5
Coos,Precinct 06,President,,Progessive,Cornel West,5
Coos,Precinct 07,President,,Progessive,Cornel West,3
Coos,Precinct 08,President,,Progessive,Cornel West,5
Coos,Precinct 09,President,,Progessive,Cornel West,0
Coos,Precinct 10,President,,Progessive,Cornel West,2
Coos,Precinct 11,President,,Progessive,Cornel West,1
Coos,Precinct 12,President,,Progessive,Cornel West,1
Coos,Precinct 13,President,,Progessive,Cornel West,2
Coos,Precinct 14,President,,Progessive,Cornel West,0
Coos,Precinct 15,President,,Progessive,Cornel West,0
Coos,Precinct 16,President,,Progessive,Cornel West,1
Coos,Precinct 17,President,,Progessive,Cornel West,6
Coos,Precinct 18,President,,Progessive,Cornel West,0
Coos,Precinct 01,President,,Libertarian,Chase Oliver,6
Coos,Precinct 02,President,,Libertarian,Chase Oliver,6
Coos,Precinct 03,President,,Libertarian,Chase Oliver,10
Coos,Precinct 04,President,,Libertarian,Chase Oliver,5
Coos,Precinct 05,President,,Libertarian,Chase Oliver,12
Coos,Precinct 06,President,,Libertarian,Chase Oliver,6
Coos,Precinct 07,President,,Libertarian,Chase Oliver,9
Coos,Precinct 08,President,,Libertarian,Chase Oliver,11
Coos,Precinct 09,President,,Libertarian,Chase Oliver,1
Coos,Precinct 10,President,,Libertarian,Chase Oliver,8
Coos,Precinct 11,President,,Libertarian,Chase Oliver,3
Coos,Precinct 12,President,,Libertarian,Chase Oliver,6
Coos,Precinct 13,President,,Libertarian,Chase Oliver,6
Coos,Precinct 14,President,,Libertarian,Chase Oliver,1
Coos,Precinct 15,President,,Libertarian,Chase Oliver,0
Coos,Precinct 16,President,,Libertarian,Chase Oliver,6
Coos,Precinct 17,President,,Libertarian,Chase Oliver,3
Coos,Precinct 18,President,,Libertarian,Chase Oliver,2
Coos,Precinct 01,President,,Constitution,Randall Terry,3
Coos,Precinct 02,President,,Constitution,Randall Terry,2
Coos,Precinct 03,President,,Constitution,Randall Terry,6
Coos,Precinct 04,President,,Constitution,Randall Terry,4
Coos,Precinct 05,President,,Constitution,Randall Terry,7
Coos,Precinct 06,President,,Constitution,Randall Terry,1
Coos,Precinct 07,President,,Constitution,Randall Terry,3
Coos,Precinct 08,President,,Constitution,Randall Terry,1
Coos,Precinct 09,President,,Constitution,Randall Terry,0
Coos,Precinct 10,President,,Constitution,Randall Terry,3
Coos,Precinct 11,President,,Constitution,Randall Terry,1
Coos,Precinct 12,President,,Constitution,Randall Terry,2
Coos,Precinct 13,President,,Constitution,Randall Terry,1
Coos,Precinct 14,President,,Constitution,Randall Terry,1
Coos,Precinct 15,President,,Constitution,Randall Terry,0
Coos,Precinct 16,President,,Constitution,Randall Terry,1
Coos,Precinct 17,President,,Constitution,Randall Terry,3
Coos,Precinct 18,President,,Constitution,Randall Terry,0
Coos,Precinct 01,President,,Republican,Donald J Trump,998
Coos,Precinct 02,President,,Republican,Donald J Trump,1733
Coos,Precinct 03,President,,Republican,Donald J Trump,1624
Coos,Precinct 04,President,,Republican,Donald J Trump,1031
Coos,Precinct 05,President,,Republican,Donald J Trump,1803
